+-----+--------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+
| id  | titulo                                                                                                                                                       | curso_id |
+-----+--------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+
| 385 | Necrosis avascular bilateral de la cabeza femoral  secuela de COVID-19, Reporte de Caso                                                                      |       10 |
| 386 | Cambios en el manejo de  tendinitis calcificante de hombro  desde la aparición de la técnica de Barbotage                                                    |       10 |
| 387 | SUPERVIVENCIA Y RESULTADOS A LARGO PLAZO DE PRÓTESIS DE RODILLA PRIMARIA CEMENTADA CON MÁS DE 20 AÑOS DE SEGUIMIENTO                                         |       10 |
| 388 | SUPERVIVENCIA Y RESULTADOS A LARGO PLAZO DE PRÓTESIS DE RODILLA PRIMARIA CEMENTADA CON MÁS DE 20 AÑOS DE SEGUIMIENTO                                         |       10 |
| 389 | SUPERVIVENCIA Y RESULTADOS A LARGO PLAZO DE PRÓTESIS DE RODILLA PRIMARIA CEMENTADA CON MÁS DE 20 AÑOS DE SEGUIMIENTO                                         |       10 |
| 399 | Guia para  rehabilitacion del paciente  posterior a fracturas de radio distal                                                                                |       10 |
| 400 | Desenlaces funcionales de artrodesis de tobillo mediante clavo retrogrado endomedular en la clinica Universidad de La Sabana                                 |       10 |
| 401 | SINDACTILIA 5º DEDO DE PIE: REVISIÓN DE CONCEPTOS Y PRESENTACIÓN DE CASO CLÍNICO EN NUESTRO CENTRO                                                           |       10 |
| 402 | Proloterapia con dextrosa al 25% como intervencionismo analgésico en fascitis plantar                                                                        |       10 |
| 403 | Síndrome de embolia grasa secundario a fracturas de huesos cortos                                                                                            |       10 |
| 404 | Luxación traumática de cadera antero inferior. Un reporte de caso                                                                                            |       10 |
| 405 | Lanzamiento de libro: Técnicas en cirugía de cadera. (Dpto. Ortopedia y Traumatología - Pontificia Universidad Javeriana, sede Bogotá)                       |       10 |
| 406 | Fracturas Geriátricas de Fémur Distal: Complicaciones y Mortalidad a Nueve Años, Un Análisis Retrospectivo                                                   |       10 |
| 407 | Desenlaces en pacientes con no unión recalcitrante de fémur distal manejadas con una técnica quirúrgica.                                                     |       10 |
| 408 | Rehabilitación de fracturas de radio distal con órtesis robóticas                                                                                            |       10 |
| 409 | Rehabilitación de fracturas de mano con ortesis robóticas                                                                                                    |       10 |
| 411 | Extensor Digitorum Brevis Manus presentado como diagnóstico diferencial de un ganglión del dorso de la mano                                                  |       10 |
| 412 | AMPUTACIÓN GUIADA POR VERDE INDOCIANINA: COMO SER OBJETIVOS PARA DETERMINAR EL NIVEL AMPUTACIÓN DURANTE EL INTRAOPERATORIO                                   |       10 |
| 413 | Caracterización de pacientes con pie equino varo congénito atendidos entre 2016 y 2021 en un hospital del departamento de Tolima – Colombia.                 |       10 |
| 414 | CONDROMATOSIS SINOVIAL DE RODILLA REPORTE DE CASOS                                                                                                           |       10 |
| 417 | Manejo de fracturas conminutas de espinas tibiales por avulsión en el paciente adolescente: Sutura como mecanismo de fijación                                |       10 |
| 418 | Manejo mínimamente invasivo en Fracturas de tibia proximal Salter Harris IV en paciente pediátrico, Reporte de caso.                                         |       10 |
| 419 | ROTURA DEL ESCUDO FEMORAL EN PRÓTESIS TOTAL DE RODILLA                                                                                                       |       10 |
| 423 | Técnica original de aumentación en ruptura traumática del tendón patelar, reporte de caso                                                                    |       10 |
| 424 | Pie equino varo secundario a picadura por alacrán, reporte de caso.                                                                                          |       10 |
| 425 | OSTEOSÍNTESIS DE RÓTULA CON SUPER SUTURAS: CAMBIANDO EL PARADIGMA DE BANDA DE TENSIÓN                                                                        |       10 |
| 426 | Luxación irreductible de rodilla asociado a interposición de estructuras mediales: un reporte de caso.                                                       |       10 |
| 427 | Anquilosis de cadera: un reporte de caso debido a osificación heterotópica                                                                                   |       10 |
| 428 | SARCOMA DE EWING ESCAPULAR EN PACIENTE PEDIATRICO, RETO DIAGNOSTICO Y QUIRURGICO. PRESENTACIÓN DE CASO                                                       |       10 |
| 429 | Fijación externa en cirugía control daño para fracturas complejas de falanges y metacarpianos                                                                |       10 |
| 430 | Fijación externa en cirugía control daño para fracturas complejas de falanges y metacarpianos                                                                |       10 |
| 431 | pseudo tumor hemofílico, a propósito de un caso.                                                                                                             |       10 |
| 432 | Aloinjerto masivo del mecanismo extensor en rodilla nativa: A propósito de un caso                                                                           |       10 |
| 433 | Luxación compleja del codo: a propósito de un caso                                                                                                           |       10 |
| 434 | Eficacia de la cobertura osea temprana en pacintes con traumatismo y exposición osea                                                                         |       10 |
| 435 | Factores asociados al reingreso hospitalario a 30 días para pacientes manejados por pie diabético en dos centros de referencia en Bogotá, Colombia           |       10 |
| 436 | Reconstrucción multiligamentaria de Rodilla MLKIIIL con autoinjertos ipsilaterales                                                                           |       10 |
| 437 | Reconstrucción de Ruptura Crónica del Tendón Patelar con Autoinjerto del Peroneo Longo Ipsilateral                                                           |       10 |
| 438 | RECONSTRUCCIÓN DE LIGAMENTO CRUZADO ANTERIOR CON AUTOINJERTO DE TENDON PURO DE CUÁDRICEPS CON SEGUIMIENTO A 3 AÑOS.                                          |       10 |
| 439 | Enfoque actual del tratamiento de las lesiones multiligamentarias en la rodilla en el Hospital San Jose                                                      |       10 |
| 440 | Desenlace exitoso de paciente politraumatizado in extremis con pelvis en libro abierto y luxación abierta de rodilla: reporte de caso                        |       10 |
| 441 | ¿Cómo exponer completamente el platillo tibial lateral? - Revisión del abordaje posterolateral con osteotomía del peroné                                     |       10 |
| 442 | MINI TORACOTOMÍA ASISTIDA POR ENDOSCOPIA PARA EL MANEJO DE ESPONDILODISCITIS TORÁCICA                                                                        |       10 |
| 443 | TUMOR DE CÉLULAS GIGANTES DEL SACRO  TRATAMIENTO CON DENOSUMAB UNA ALTERNATIVA EN TUMORES IRRESECABLES                                                       |       10 |
